,Graphlet ID0,,,,Graphlet ID1,,,,Graphlet ID2,,,,Graphlet ID3,,,,Graphlet ID4,,,,Graphlet ID5,,
,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW
ia-email-univ,1133,5451,10**6,,,,,,,,,,,,,,,,,,,,
expectation est.,540435.289946,552431.63134,,,1113019.46939,1101060.79044,,,220426.335533,226736.47089,,,12490.7219677,12187.78188,,,20440.856999,20404.25588,,,3464.54639633,3444.23252,
variance est.,6.26168531713,5.15767833968,2.17674754733,,4.27970978932,3.95278348022,2.17674754733,,6.81036482411,10.1406427059,5.48838383558,,93.4772045127,73.501395606,70.8415981864,,27.1639085566,32.9502804723,34.4863261717,,71.6143247305,81.8140641905,177.904287493
type count,,214485,458919,,,244284,309838,,,95362,182594,,,14130,14206,,,,28695,,,,5748
mixing- 1 step,0.0432626181912,0.0148287236633,0.24924934012,,0.027748733311,0.0132364378203,0.348964415435,,0.0459653480334,0.0166412437986,1.0503075517,,0.14789391305,0.0589231904258,3.97888769705,,0.270447553573,0.202965176082,5.05387395288,,1.77697629459,1.33952699064,27.8728138981
mixing- 2 step,0.0325818716847,0.0115031819787,0.0652375119261,,0.0208913091302,0.00639368403308,0.0625664826517,,0.0345310004074,0.0101690849923,0.227746983822,,0.0428804932644,0.0556915611585,0.500143842009,,0.215565114508,0.0883465871611,1.02852733053,,1.16590355041,0.345708701542,7.64119102392
mixing- 3 step,0.0162307733192,0.00171772756768,0.0489973051747,,0.0137400533947,0.00277690194438,0.0504848856284,,0.0166488317408,0.000229355569689,0.183391563648,,0.0114371876579,0.0115790485215,0.101433413794,,0.144587843198,0.000100269074605,0.717257667361,,0.756824398875,0.202628072262,5.22283099916
mixing- 4 step,0.0147607499497,0.00222195240807,0.0356652769117,,0.0108724186871,0.0017200165535,0.0375165732137,,0.0150026194495,0.00930055461898,0.134694289747,,0.046499513083,0.0208133720083,0.176190161613,,0.120840086603,0.0137912979023,0.546939867497,,0.649885611662,0.0827497966526,3.7187296882
mixing- 5 step,0.0107640397695,0.00239602700306,0.0272766441727,,0.00799825983105,0.000925181192758,0.0261757129908,,0.014719096384,0.000896953304469,0.0995053650852,,0.0512712863528,0.0339990785923,0.201108243585,,0.0598893892318,0.0416824218167,0.351955965798,,0.400364473725,0.12528414522,2.62751982027
mixing- 6 step,0.00864766295521,0.00166769756259,0.0218863065164,,0.00860453022648,0.000477779268413,0.0181314535441,,0.011676968529,0.00123075018105,0.0814128749448,,0.0585144317641,0.0863197508719,0.231010122368,,0.0852179981498,0.011251506738,0.297923412936,,0.373204516781,0.0479429328037,2.45056418334
mixing- 7 step,0.00578209897949,0.00141258158392,0.0190957500018,,0.00569773003902,0.00182685136379,0.0196639686214,,0.0124237708037,0.00565672095146,0.0681749392854,,0.0295466155083,0.0158361390064,0.186154316363,,0.0387792332096,0.0477640092215,0.196907362164,,0.276450882527,0.0912690159751,1.41834171014
mixing- 8 step,0.00353352126242,0.00134454948681,0.0180510285132,,0.00446911024459,0.00139818883423,0.0160221152341,,0.00627407198945,0.00543751144369,0.0587965190487,,0.0356320537809,0.00658583449994,0.036638029756,,0.0408889959368,0.0229118005174,0.156970140109,,0.161025971477,0.0487345745995,1.0349440382
mixing- 9 step,0.00723439719703,0.00423682301458,0.0185291642535,,0.00498396436515,0.00132055249151,0.0182953139803,,0.00655557263808,0.0047355970899,0.0520112091112,,0.0139044932855,0.0581963256153,0.0914591417848,,0.0435264542929,0.00295459708887,0.176936975733,,0.252684663899,0.0410026273778,0.799006698522
mixing- 10 step,0.00451574305755,0.000944370149779,0.0183004292872,,0.00393818351321,0.00202612574585,0.0163226160313,,0.00153591857645,0.000917933585595,0.050472395039,,0.111672743455,0.0258082005763,0.0580567510964,,0.0324437249801,0.0183434205733,0.160491586029,,0.149141828436,0.0711360521102,1.30036692067
